,,obs,testgp01020sks122110011296000000002swmmR1_low,testgp01020sks122110011296000000002swmmR1_QE,testgp01020sks122110011296000000002swmmR1_QA,testgp01020sks122110011296000000002swmmR1_QS,testgp01020sks162210011563111110002swmmR1_low,testgp01020sks162210011563111110002swmmR1_QE,testgp01020sks162210011563111110002swmmR1_QA,testgp01020sks162210011563111110002swmmR1_QS,testgp01020sks112010011124000000002swmmR1_low,testgp01020sks112010011124000000002swmmR1_QE,testgp01020sks112010011124000000002swmmR1_QA,testgp01020sks112010011124000000002swmmR1_QS,testgp01020sks132110011921111110002swmmR1_low,testgp01020sks132110011921111110002swmmR1_QE,testgp01020sks132110011921111110002swmmR1_QA,testgp01020sks132110011921111110002swmmR1_QS,testgp01020sks102210011756111110002swmmR1_low,testgp01020sks102210011756111110002swmmR1_QE,testgp01020sks102210011756111110002swmmR1_QA,testgp01020sks102210011756111110002swmmR1_QS,testgp01020sks122210011250222220002swmmR1_low,testgp01020sks122210011250222220002swmmR1_QE,testgp01020sks122210011250222220002swmmR1_QA,testgp01020sks122210011250222220002swmmR1_QS,testgp01020sks112010011237000000002swmmR1_low,testgp01020sks112010011237000000002swmmR1_QE,testgp01020sks112010011237000000002swmmR1_QA,testgp01020sks112010011237000000002swmmR1_QS,testgp01020sks162110011856111110002swmmR1_low,testgp01020sks162110011856111110002swmmR1_QE,testgp01020sks162110011856111110002swmmR1_QA,testgp01020sks162110011856111110002swmmR1_QS,testgp01020sks142110011039111110002swmmR1_low,testgp01020sks142110011039111110002swmmR1_QE,testgp01020sks142110011039111110002swmmR1_QA,testgp01020sks142110011039111110002swmmR1_QS,testgp01020sks162110011852000000002swmmR1_low,testgp01020sks162110011852000000002swmmR1_QE,testgp01020sks162110011852000000002swmmR1_QA,testgp01020sks162110011852000000002swmmR1_QS,testgp01020sks102210011756111110002swmm0,testgp01020sks102210011756111110002swmm1,testgp01020sks102210011756111110002swmm2,testgp01020sks102210011756111110002swmm3,testgp01020sks102210011756111110002swmm4,testgp01020sks162110011852000000002swmm0,testgp01020sks162110011852000000002swmm1,testgp01020sks162110011852000000002swmm2,testgp01020sks162110011852000000002swmm3,testgp01020sks162110011852000000002swmm4,testgp01020sks162110011856111110002swmm0,testgp01020sks162110011856111110002swmm1,testgp01020sks162110011856111110002swmm2,testgp01020sks162110011856111110002swmm3,testgp01020sks162110011856111110002swmm4,baseswmm0,baseswmm1,baseswmm2,baseswmm3,baseswmm4
QA,%lowQ,,60.67704613626624,100.0,100.0,41.39408655906299,89.20154263676618,100.0,100.0,99.61434080845594,94.4007998857306,94.42936723325239,100.0,100.0,94.21511212683902,35.28067418940151,55.23496643336666,43.75089272961006,70.73275246393372,62.44822168261677,62.51964005142122,62.47678903013855,50.26424796457649,59.90572775317812,50.10712755320669,77.8460219968576,94.4007998857306,94.42936723325239,100.0,100.0,55.40637051849736,84.98785887730324,93.32952435366376,84.97357520354235,36.88044565062134,31.33838023139551,15.16926153406656,30.75274960719897,54.73503785173547,53.43522353949436,44.63648050278531,54.80645622053992,76.31766890444223,82.00257106127697,82.88815883445221,85.61634052278247,76.53192401085559,97.32895300671332,97.67176117697471,99.51435509212969,97.7003285244965,97.3575203542351,99.0144265104985,99.14297957434653,86.88758748750178,94.9150121411227,99.10012855306385,96.78617340379945,96.91472646764748,99.41436937580346,94.42936723325239,96.90044279388658
QA,NSC,,0.38,-0.62,-0.62,-583.93,0.01,-0.62,-0.62,-0.56,-0.11,-0.09,-0.61,-0.61,-0.17,-0.47,0.01,-6.5,0.58,0.51,0.62,0.74,0.64,-10.11,0.14,0.5,-0.11,-0.09,-0.61,-0.61,0.2,0.31,-0.17,-2.8,0.33,-4.79,0.12,-4.24,0.29,0.71,0.19,0.82,0.67,0.62,0.6,0.55,0.65,0.29,0.28,0.21,0.28,0.29,0.22,0.15,0.44,0.33,0.16,0.23,0.24,0.09,0.28,0.24
QA,RMSE,,0.79,1.27,1.27,24.08,0.99,1.27,1.27,1.24,1.05,1.04,1.26,1.26,1.08,1.21,0.99,2.73,0.65,0.7,0.61,0.51,0.6,3.32,0.92,0.7,1.05,1.04,1.26,1.26,0.89,0.82,1.08,1.94,0.82,2.4,0.94,2.28,0.84,0.54,0.9,0.42,0.57,0.61,0.63,0.67,0.58,0.84,0.84,0.88,0.85,0.84,0.88,0.92,0.75,0.81,0.91,0.87,0.87,0.95,0.85,0.87
QA,VE,,-51.53,-100.0,-100.0,2246.05,-83.13,-100.0,-100.0,-99.22,-89.05,-88.77,-99.74,-99.8,-80.19,72.38,-45.75,118.99,-38.67,-6.66,-24.0,-16.1,-6.44,147.93,-9.11,-57.65,-89.05,-88.77,-99.74,-99.8,-53.15,-60.71,-77.35,-1.66,-23.98,164.94,-16.48,164.1,-44.46,13.63,-42.51,-1.22,-6.69,-33.93,-35.72,-43.17,-22.69,-44.56,-43.97,-48.65,-45.8,-44.95,-43.52,-61.5,-47.61,-40.01,-61.2,-59.75,-59.58,-63.89,-57.77,-59.66
QA,maxQ,,2.034687255859375,0.0,0.0,48.25405859375,1.9088551025390625,0.0,0.0,2.990429931640625,2.1842424316406253,3.8964814453125003,0.06567038726806641,0.06947237396240234,0.797728271484375,14.463977539062501,0.5827450561523437,21.7652890625,2.86252734375,13.7748837890625,2.19555859375,9.009681640625,2.565875732421875,35.467453125,2.2082770996093752,6.42135107421875,2.1842424316406253,3.8964814453125003,0.06567038726806641,0.06947237396240234,1.3109656982421876,5.481689453125,0.5622777709960938,50.30277734375,1.6565758056640625,54.09894140625,0.820249267578125,48.47220703125,1.75094384765625,9.8123515625,0.7756105346679688,7.4831865234375,2.8435898437500002,3.394588623046875,3.403454833984375,3.342546875,3.357419189453125,1.7666270751953126,1.7803330078125001,1.2511525878906251,1.7355267333984374,1.6625078125000001,1.3109864501953126,1.30972705078125,1.9023621826171875,1.8441625976562501,1.3109713134765626,1.5515550537109375,1.551591796875,1.2050526123046876,1.5648353271484374,1.5502081298828125
QA,meanQ,,0.3799497301078936,0.0,0.0,18.390761371084086,0.13225963482317746,0.0,0.0,0.006138918507628707,0.08585567487776741,0.08802488070065995,0.002046247590856552,0.0015352884075000306,0.15531538410272586,1.351269990786708,0.42527916880992966,1.716674539632243,0.480785934197053,0.7316718796290188,0.5957916812697848,0.6576761666867175,0.7334544193545631,1.9435032185303251,0.7125132044819045,0.3320215998620578,0.08585567487776741,0.08802488070065995,0.002046247590856552,0.0015352884075000306,0.36722756084696323,0.3080340651618533,0.1775328409783143,0.7708707688733044,0.5959103263192408,2.0768919289845975,0.6547064457650765,2.0702547667554714,0.4353423395724897,0.8907416091478138,0.45062918033022287,0.774362229398039,0.7314342857015387,0.5179261823759609,0.5038553889497589,0.44546143193375026,0.6060230764259085,0.43459280994220767,0.4392135393428489,0.4025323500358076,0.42486680360828666,0.4315305375546119,0.44273335557800586,0.3018239003638679,0.41071476755879843,0.4702852096836868,0.30413126891073694,0.31552735310191,0.31685060730564174,0.28309260872814795,0.3310696600063445,0.31623836554848894
QA,minQ,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004706083297729492,0.10238553619384766,0.11411260986328126,0.06634686279296875,0.0329687614440918,0.012245075225830078,0.018683507919311525,0.010178424835205079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014246163368225098,0.013037172317504883,0.013006192207336426,0.010186341285705567,0.026450849533081057,0.03227577590942383,0.03237736511230469,0.032280525207519534,0.008260727882385254,0.008197201728820802,0.008230926513671875,0.0081995210647583,0.11891599273681641,0.01993839645385742,0.014431526184082031,0.012913510322570801,0.022674652099609376,0.00825798797607422,0.008407793045043946,0.007176893711090088,0.007929110527038574,0.008227766990661621,0.01115218162536621,0.0025990707874298095,0.002080658197402954,0.011402849197387696,0.0004810362458229065,0.0019520983695983888,0.0019523030519485473,0.0019553734064102174,0.0019533716440200805,0.001953224539756775
QE,%lowQ,,48.53592343950864,100.0,100.0,99.74289387230397,48.03599485787745,48.03599485787745,48.03599485787745,48.03599485787745,42.75103556634767,42.02256820454221,64.76217683188116,65.57634623625196,100.0,100.0,100.0,100.0,63.19097271818311,59.634337951721186,56.07770318525925,54.22082559634338,25.11069847164691,25.196400514212254,37.90887016140551,39.665762033995144,42.75103556634767,42.02256820454221,64.76217683188116,65.57634623625196,64.43365233538067,100.0,100.0,99.97143265247821,49.25010712755321,99.97143265247821,52.92101128410227,100.0,71.36123410941295,100.0,85.91629767176117,100.0,73.98943008141694,71.21839737180403,71.57548921582631,72.97528924439366,75.93200971289815,78.30309955720611,78.57448935866304,82.65962005427797,79.01728324525068,78.6459077274675,67.09041565490644,76.87473218111698,74.44650764176546,68.59020139980004,77.93172403942295,81.87401799742894,80.44565062133981,78.6459077274675,82.34537923153835,81.6169118697329
QE,NSC,,-0.49,-0.36,-0.36,-0.36,-0.34,-0.34,-0.34,-0.34,-0.37,-0.41,-0.39,-0.36,-0.36,-0.36,-0.36,-0.36,-0.33,-0.33,-0.48,-0.55,-0.26,-0.26,-1.2,-0.97,-0.37,-0.41,-0.39,-0.36,-0.37,-0.36,-0.36,-0.36,-0.5,-0.36,-1.04,-0.36,-0.37,-0.36,-0.36,-0.36,-0.33,-0.26,-0.28,-0.18,-0.34,-0.37,-0.37,-0.36,-0.37,-0.37,-0.4,-0.37,-0.6,-0.54,-0.36,-0.37,-0.37,-0.38,-0.37,-0.37
QE,RMSE,,0.99,0.95,0.95,0.95,0.94,0.94,0.94,0.94,0.96,0.97,0.96,0.95,0.95,0.95,0.95,0.95,0.94,0.94,0.99,1.01,0.92,0.92,1.21,1.14,0.96,0.97,0.96,0.95,0.95,0.95,0.95,0.95,1.0,0.95,1.16,0.95,0.95,0.95,0.95,0.95,0.94,0.92,0.92,0.89,0.94,0.95,0.95,0.95,0.95,0.95,0.96,0.95,1.03,1.01,0.95,0.95,0.95,0.96,0.95,0.95
QE,VE,,-74.14,-99.89,-99.89,-99.89,-78.84,-78.84,-78.84,-78.84,-70.41,-73.57,-94.67,-99.32,-99.89,-99.89,-99.89,-99.89,-82.61,-80.46,-60.86,-48.19,-40.52,-37.63,-35.42,-45.31,-70.41,-73.57,-94.67,-99.32,-93.21,-99.89,-99.89,-99.89,-72.37,-99.89,-57.58,-99.89,-96.16,-99.89,-99.88,-99.89,-77.31,-13.27,-18.81,-19.87,-84.48,-96.18,-96.33,-98.26,-96.38,-96.25,-84.22,-96.5,-83.56,-74.57,-95.32,-96.08,-96.08,-95.66,-96.66,-96.04
QE,maxQ,,3.95832177734375,0.05999475479125976,0.060007652282714846,18.406486328125002,6.557390625,5.09547412109375,5.0955068359375,5.09517236328125,1.8597004394531251,1.861847412109375,7.5112373046875005,7.54133349609375,0.059978683471679686,0.0599931869506836,0.0599992561340332,0.0600103874206543,3.690198486328125,1.551049560546875,11.31002734375,6.5807299804687505,2.6963359375000002,1.5161912841796876,25.081994140625,20.494142578125,1.8597004394531251,1.861847412109375,7.5112373046875005,7.54133349609375,3.79903466796875,0.05999287796020508,0.059993133544921876,2.9069487304687502,5.1681435546875,0.9835247802734375,39.51034765625,0.0600086555480957,5.5250048828125005,0.05998330307006836,7.180501953125,0.0600022087097168,3.75510400390625,4.27635791015625,4.151115234375,4.18501416015625,3.8155126953125,5.58578173828125,5.63876953125,3.550643798828125,5.46525634765625,5.18685595703125,3.7990595703125,3.79397998046875,6.1060292968750005,5.88340087890625,3.79909033203125,3.4670419921875,3.4670356445312502,5.7878544921875,3.685044189453125,3.468582763671875
QE,meanQ,,0.6630242034590922,0.002032941902665093,0.0020329359005193492,0.020833922658017524,0.5579059290615529,0.520272158936592,0.5202731850719711,0.5202712381758906,0.5883356849497455,0.5885225272841169,0.5663740985039647,0.5593828087181208,0.002033100790410476,0.0020330486062853288,0.0020330482426435554,0.0020330687605024226,0.4052590472880017,0.3584544711669459,0.5046698638166445,0.4660444712186092,0.8176853661092413,0.6475217568961881,2.034052720434707,1.7446497972659027,0.5883356849497455,0.5885225272841169,0.5663740985039647,0.5593828087181208,0.32382932834459865,0.0020330184435035582,0.0020330537141773583,0.002502573169710904,0.7479068247601577,0.002236989866864737,1.6674516261435488,0.002032951056386284,0.33226275384846093,0.002032831805485739,0.2718840385355109,0.0020329796690659106,0.4712466473684977,0.5500140169905418,0.5387182250580709,0.5137120933177182,0.4048023384717033,0.32609441132241096,0.3160712616192416,0.23155843963888834,0.3143345087791432,0.3271764047869953,0.4102282582377188,0.27440525087339457,0.7073623667982899,0.5975324277196371,0.27268817376232957,0.2700260874324792,0.2794642803339198,0.3693450162182393,0.3067884282148906,0.27551656765156873
QE,minQ,,7.42828065995127e-07,7.428759709000588e-07,7.428821409121156e-07,7.428281242027879e-07,0.0056769027709960935,0.005676924228668213,0.005676951885223389,0.005676957130432129,7.428647368215024e-07,7.428781827911735e-07,1.9015539437532425e-06,1.901444629766047e-06,7.428587414324284e-07,7.428721291944385e-07,7.428604876622558e-07,7.428348180837929e-07,2.5510840117931366e-05,1.6383769689127802e-06,4.818663001060486e-06,5.908293649554253e-06,0.02383705711364746,0.023420318603515625,1.2224791571497918e-05,1.5412655659019947e-05,7.428647368215024e-07,7.428781827911735e-07,1.9015539437532425e-06,1.901444629766047e-06,7.428609533235431e-07,7.428393582813442e-07,7.428594981320202e-07,7.428348180837929e-07,7.428503595292568e-07,7.428822573274374e-07,7.428613607771695e-07,7.428731769323349e-07,7.428719545714558e-07,7.428770186379552e-07,7.428689859807491e-07,7.428817916661502e-07,0.009521220207214355,0.015440619468688965,0.014244132041931153,0.01370867919921875,5.527857691049576e-06,7.428821409121156e-07,7.428645039908588e-07,7.42863048799336e-07,7.428763201460242e-07,7.428353419527412e-07,7.428551907651127e-07,7.428302778862417e-07,7.428568205796183e-07,7.42842850740999e-07,7.428372045978904e-07,9.338059462606908e-06,9.338048286736012e-06,6.650379858911038e-06,9.338081814348698e-06,9.338075295090676e-06
QS,%lowQ,,18.840165690615628,47.75032138265962,47.85030709898586,15.9262962433938,57.8060277103271,89.01585487787459,88.85873446650479,57.734609341522635,93.94372232538208,94.95786316240537,91.92972432509642,100.0,34.6521925439223,36.051992572489645,34.166547636051995,5.399228681616912,92.772461076989,94.77217540351378,90.77274675046422,95.02928153120983,81.4312241108413,99.40008570204256,98.11455506356235,99.91429795743466,93.94372232538208,94.95786316240537,91.92972432509642,100.0,24.625053563776603,18.32595343522354,21.011284102271105,1.0855592058277388,66.43336666190545,94.12941008427367,96.18625910584203,80.37423225253535,73.2323953720897,97.0432795314955,92.52963862305384,73.76089130124268,90.00142836737609,92.97243250964148,92.70104270818454,93.74375089272961,86.57334666476217,72.78960148550208,73.3895157834595,64.64790744179403,76.6890444222254,73.96086273389515,6.127696043422368,27.796029138694472,29.224396514783603,3.6709041565490645,36.88044565062134,56.62048278817312,56.60619911441223,56.92043993715183,56.22053992286816,56.57763176689045
QS,NSC,,-0.95,-136.44,-137.17,-199.41,0.17,-8.22,-8.7,-5.52,-1.39,-2.98,-7.04,-2.23,-14.31,-193.2,-380.02,-64.33,-1.42,-1.35,-1.0,-1.25,-0.63,-2.58,-47.86,-2.18,-1.39,-2.98,-7.04,-2.23,-0.7,-191.37,-220.75,-70.15,-0.51,-2.22,-1.87,-0.15,-0.16,-5.71,-4.53,-0.18,-1.53,-1.51,-1.14,-1.08,-1.17,-0.14,-0.13,-1.84,-0.21,-0.2,-1.46,-0.54,-0.83,-1.6,-0.45,0.15,0.15,0.34,0.15,0.16
QS,RMSE,,0.3,2.56,2.57,3.09,0.2,0.66,0.68,0.56,0.34,0.44,0.62,0.39,0.85,3.04,4.26,1.76,0.34,0.33,0.31,0.33,0.28,0.41,1.53,0.39,0.34,0.44,0.62,0.39,0.28,3.03,3.25,1.84,0.27,0.39,0.37,0.23,0.24,0.57,0.51,0.24,0.35,0.35,0.32,0.31,0.32,0.23,0.23,0.37,0.24,0.24,0.34,0.27,0.3,0.35,0.26,0.2,0.2,0.18,0.2,0.2
QS,VE,,63.57,358.1,357.95,706.84,-17.47,-35.0,-33.78,29.69,-82.21,-78.83,-52.22,-93.94,122.64,433.51,615.62,338.07,-71.18,-85.2,-75.48,-83.26,-62.6,-97.13,-73.27,-94.68,-82.21,-78.83,-52.22,-93.94,48.65,493.41,512.74,382.57,-18.28,-81.51,-88.76,-57.82,-34.64,-79.01,-65.71,-37.31,-61.53,-68.88,-73.24,-75.06,-62.54,-33.48,-34.78,-6.32,-41.69,-37.29,77.04,40.3,51.17,84.72,27.94,-12.35,-11.89,-18.83,-9.95,-12.09
QS,maxQ,,1.308120849609375,18.323779296875,18.327126953125,4.7368603515625,1.2394521484375,8.6851083984375,8.8928955078125,3.83660693359375,5.58203466796875,2.290689208984375,9.23447265625,0.13664105224609374,5.2431230468750005,21.51888671875,28.133708984375,4.79783251953125,3.4501982421875,1.2117608642578126,3.071913330078125,1.2121600341796874,1.231827880859375,1.90762548828125,63.62877734375,0.350319091796875,5.58203466796875,2.290689208984375,9.23447265625,0.13664105224609374,1.0550804443359376,23.74771875,28.092365234375002,5.25717041015625,1.5444239501953125,4.269865234375,3.224481689453125,1.7889993896484375,1.454919921875,8.6944765625,8.795775390625,3.1004541015625002,3.89294921875,4.4623125,2.537699951171875,2.72468798828125,2.498270263671875,1.478929443359375,1.5122308349609375,3.820623046875,1.4493377685546875,1.4163800048828126,1.05508251953125,1.05444091796875,1.382781005859375,1.3508214111328125,1.0550911865234376,1.6528441162109375,1.652930419921875,1.534716064453125,1.6600185546875,1.6500522460937501
QS,meanQ,,0.5834133171674917,1.633909038982625,1.633397842654179,2.877777063633745,0.29437413606134594,0.23184609687693314,0.2361829311806616,0.46258261926611416,0.06344611906054712,0.07551027823440036,0.1704186506824079,0.021607048181733264,0.7941093139799364,1.9028977383306458,2.5524409856743615,1.5624695711390597,0.10279977222096676,0.05279905828348989,0.08747313104761013,0.05970471770651444,0.13339036900896742,0.010241353823416921,0.09533911983910694,0.01898482056675307,0.06344611906054712,0.07551027823440036,0.1704186506824079,0.021607048181733264,0.5301961292132295,2.116559860451451,2.1855014486531084,1.7212203863084257,0.291459512603314,0.06594916831318409,0.04008417491354511,0.15045095328096073,0.23310847003123186,0.07485474309477773,0.12230848675698719,0.22359156409765749,0.13722013610610712,0.11100988506431397,0.09543593918866723,0.08896174811571954,0.1336113718060147,0.23727609217754814,0.23263786560884314,0.33413904951966644,0.20796407559726876,0.22366073108385293,0.6314609795526648,0.5004070775904259,0.5391755864726802,0.6588634460497169,0.4563339469173143,0.31263320292653124,0.3142627814888801,0.2894964644566823,0.3211868212355868,0.313550594575353
QS,minQ,,0.027910913467407227,1.8763048574328424e-05,2.831700071692467e-05,0.027487009048461915,0.0,2.831700071692467e-05,2.4000683799386025e-05,6.311286240816116e-06,0.0,0.0,0.0,0.0,0.00022861413657665252,2.831700071692467e-05,2.831700071692467e-05,0.11453456878662109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004996391534805298,2.831700071692467e-05,2.831700071692467e-05,0.16844651794433593,0.0,0.0,0.0,0.0,0.0,2.831700071692467e-05,1.3929013162851334e-05,3.6404801066964866e-06,0.0,0.0,0.0,1.5186236705631018e-06,0.0,0.0,1.0811865329742432e-05,7.1471408009529116e-06,0.0,1.075806189328432e-05,0.12737847137451172,0.04013943862915039,0.03352891159057617,0.12943882751464844,2.9607171192765238e-05,0.0018334927558898927,0.0018345136642456054,0.0018458826541900635,0.0018430827856063842,0.0018364766836166382
